name,position,years,pro_bowls,draft_round,franchises,franchise_count
Darren Sharper,FS,1999-2010,5,2,Packers -> Vikings -> Saints,3
Darren Sproles,RB,2005-2019,3,4,Chargers -> Saints -> Eagles,3
Darren Waller,TE,2015-2025,1,6,Ravens -> Raiders -> Giants -> Dolphins,4
Darrien Gordon,CB,1999-2002,0,1,Raiders -> Falcons -> Packers -> Raiders,3
Darrius Heyward-Bey,WR,2009-2018,0,1,Raiders -> Colts -> Steelers,3
Darron Lee,LB,2016-2020,0,1,Jets -> Chiefs -> Bills,3
Daryl Gardener,DT,1999-2003,0,1,Dolphins -> Commanders -> Broncos,3
Dashon Goldson,DB,2007-2016,2,4,49ers -> Buccaneers -> Commanders -> Falcons,4
Datone Jones,DL,2013-2020,0,1,Packers -> Lions -> 49ers -> Cowboys -> Raiders,5
Daunte Culpepper,QB,1999-2009,3,1,Vikings -> Dolphins -> Raiders -> Lions,4
Davante Adams,WR,2014-2025,6,2,Packers -> Raiders -> Jets -> Rams,4
David Boston,WR,1999-2005,1,1,Cardinals -> Chargers -> Dolphins,3
David Carr,QB,2002-2012,0,1,Texans -> Panthers -> Giants -> 49ers -> Giants,4
David Johnson,RB,2015-2022,1,3,Cardinals -> Texans -> Saints,3
DeAndre Hopkins,WR,2013-2025,5,1,Texans -> Cardinals -> Titans -> Chiefs -> Ravens,5
DeAngelo Hall,DB,2004-2017,3,1,Falcons -> Raiders -> Commanders,3
DeMarco Murray,RB,2011-2017,3,3,Cowboys -> Eagles -> Titans,3
DeSean Jackson,WR,2008-2022,3,2,Eagles -> Commanders -> Buccaneers -> Eagles -> Rams -> Raiders -> Ravens,6
DeWayne Washington,CB,1999-2005,0,1,Steelers -> Jaguars -> Chiefs,3
Deion Jones,LB,2016-2025,1,2,Falcons -> Browns -> Panthers -> Buccaneers,4
Deion Sanders,CB,1999-2005,8,1,Cowboys -> Commanders -> Ravens,3
Deltha O'Neal,CB,2000-2008,2,1,Broncos -> Bengals -> Patriots,3
Demario Davis,LB,2012-2025,2,3,Jets -> Browns -> Jets -> Saints,3
Demaryius Thomas,WR,2010-2019,5,1,Broncos -> Texans -> Patriots -> Jets,4
Denzel Perryman,LB,2015-2025,1,2,Chargers -> Raiders -> Texans -> Chargers,3
Deone Bucannon,LB,2014-2020,0,1,Cardinals -> Buccaneers -> Giants -> Buccaneers,3
Derek Anderson,QB,2005-2018,1,6,Ravens -> Browns -> Cardinals -> Panthers -> Bills,5
Derrick Burgess,OLB,2001-2009,2,3,Eagles -> Raiders -> Patriots,3
Desmond Trufant,DB,2013-2021,1,1,Falcons -> Lions -> Saints -> Raiders,4
Devin Bush,LB,2019-2025,0,1,Steelers -> Seahawks -> Browns,3
Devin Duvernay,WR,2020-2025,2,3,Ravens -> Jaguars -> Bears,3
Devin Hester,WR,2006-2016,4,2,Bears -> Falcons -> Ravens -> Seahawks,4
Devin White,LB,2019-2025,1,1,Buccaneers -> Eagles -> Texans -> Raiders,4
Devonta Freeman,RB,2014-2021,2,4,Falcons -> Giants -> Ravens,3
Dexter McCluster,RB,2010-2016,1,2,Chiefs -> Titans -> Chargers,3
Dez Bryant,WR,2010-2020,3,1,Cowboys -> Saints -> Ravens,3
Dion Jordan,DL,2013-2020,0,1,Dolphins -> Seahawks -> Raiders -> 49ers,4
Diontae Johnson,WR,2019-2024,1,3,Steelers -> Panthers -> Ravens -> Texans,4
Dominique Rodgers-Cromartie,DB,2008-2019,2,1,Cardinals -> Eagles -> Broncos -> Giants -> Raiders -> Commanders,6
Donald Brown,RB,2009-2016,0,1,Colts -> Chargers -> Patriots,3
Dontari Poe,DL,2012-2020,2,1,Chiefs -> Falcons -> Panthers -> Cowboys,4
Donte Whitner,DB,2006-2016,2,1,Bills -> 49ers -> Browns -> Commanders,4
Donte' Stallworth,WR,2002-2012,0,1,Saints -> Eagles -> Patriots -> Browns -> Ravens -> Commanders -> Patriots,6
